Player,Era,Accolades,Prime_Lng,Prime_Rs,Prime_Ps,Prime_Rs_Adv,Prime_Ps_Adv,Prime_Corp,Peak_Rs,Peak_Ps,Peak_Rs_Adv,Peak_Ps_Adv,Peak_Corp,Leaderboard,Two_Way,Rs_Winning,Ps_Winning,Rsv,Psv,Dnr,Culture,Artistry
James Harden,6.0,14.7855,0.18,34.577,30.297,160.18,136.495,10.118,39.313,32.895,194.96,148.42,13.067,55222.25,5.1976,4.228403846,10.04152242,3.0710232,2.3746576,0.4,65,76
Dwyane Wade,5.0,9.2395,-0.073333333,32.107,27.906,127.14,121.095,11.45,36.882,34.112,164.24,164.52,17.55,43902,9.3716,2.892680556,16.68667077,2.3669028,1.7720175,0.8,69,69
Steve Nash,5.0,12.5935,0.62,27.776,25.627,122.27,113.445,11.5727,29.721,28.725,143.82,136.74,16.966,43102.65,6.8896,4.96887417,8.483152174,1.52795216,1.39598,0.4,62,74
Charles Barkley,4.0,13.3055,0.706666667,31.515,30.586,129.24,127.375,11.45,32.728,32.071,141.42,133.62,12.77,52473.6,7.7316,2.827066202,9.222385692,2.73504293,2.7762876,0.5,70,61
John Havlicek,2.0,13.6345,2.073333333,18.303,19.003,70.67,87.47,8.1,24.179,22.64280664,87.3,107.84,10.8,50314.4,8.7676,4.901510204,21.65746419,0.75557016,0.82467368,1.8,48,50
John Stockton,4.0,10.7415,0.36,30.866,27.948,152.885,135.255,9.98,31.935,29.769,156.3,152.92,10.866,59033.95,8.1936,4.889971814,9.732248187,1.8123908,1.92250542,,55,57
Moses Malone,3.0,19.0805,2.346666667,26.595,25.462,66.17,79.33,9.375,30.238,27.889,89.46,93.04,13.1,62128.25,6.1396,2.106770186,9.891086713,0.83624994,0.72740904,0.1,42,29
Russell Westbrook,6.0,10.73,0.093333333,32.573,28.962,120.95,100.675,7.318,37.993,35.759,167.68,162,9.87,59722.05,5.6776,4.193821138,8.638617559,4.8699,3.548438495,-1,67,62
Bob Cousy,1.0,19.23075,0,19.511,19.414,67,66.345,8.56,21.274,23.039,75.84,87.74,10.3,36909.4,4.0276,4.66056563,16.01731959,0.80392012,0.875094386,0.8,66,74
Bob Pettit,1.0,22.487,0.066666667,30.538,28.375,102.105,97.015,9.02,29.704,29.237,110.44,104.58,11.56,43652.8,8.6256,1.714757576,9.924218807,1.25349741,0.972697995,0.8,65,48
Isiah Thomas,3.7,7.0755,0.6,25.153,27.222,79.63,110.455,9.1,28.831,29.308,108.86,124.94,10.1,43097.15,5.5036,3.395514723,15.53354377,1.54552956,2.13357696,0.2,66,67
Luka Doncic,6.5,6.2505,-20.90454496,38.412,35.385,152.835,157.925,12.3,39.646,34.689,171.18,153.9,12.3,26123.8,7.8256,2.851928862,8.4556698,5.95783584,4.8760488,-2.3,67,75
Jason Kidd,5.0,10.5995,2.98,23.933,21.972,84.43,89.115,6.51,22.874,23.794,101,98.96,10.466,56014.4,6.4376,2.444058923,11.34063235,1.82568519,1.6430742,1.2,61,62
Joel Embiid,6.0,10.881,-20.22374842,38.429,30.012,132.7442857,81.79166667,13.16,41.459,29.839,161.7733333,77.08,13.77,24052.85,11.5556,2.971159145,7.495264952,4.511170788,2.331806383,-0.3,64,62
Bill Walton,2.9,5.68085,-25.29822128,24.14,20.976,104.23,113.11,14.45,26.263,20.976,121.84,112.28,22.2,17788.2,11.3056,2.958795853,18.07430062,2.84939816,2.43113472,,49,46
